IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
186	flojo	ʃu⁴ʃã³					alco11	swanton2020observaciones																																																								
186	flojo	su²ʧã²					zaca11	swanton2020observaciones																																																								
186	flojo	θy³sa³					chal11	swanton2020observaciones																																																								
188	celoso	ʔ-kʷíjõ̀					prom01	swanton2020observaciones																																																								
188	celoso	kʷi⁴ɲu²					alco11	swanton2020observaciones																																																								
188	celoso	kʷi²ɲu³					zaca11	swanton2020observaciones																																																								
188	celoso	kʷi³ɲi³					chal11	swanton2020observaciones																																																								
188	celoso	kɥi³õ³					yucu16	swanton2020observaciones																																																								
189	cerca	jétĩ́					prom01	swanton2020observaciones																																																								
189	cerca	ja³ʧĩ³					alco11	swanton2020observaciones																																																								
189	cerca	ja²tĩ²					zaca11	swanton2020observaciones																																																								
189	cerca	ja²ni²					chal11	swanton2020observaciones																																																								
189	cerca	ja²ti²					yucu16	swanton2020observaciones																																																								
191	pesado	wèé					prom01	swanton2020observaciones																																																								
191	pesado	be¹e³					alco11	swanton2020observaciones																																																								
191	pesado	be²e²¹					zaca11	swanton2020observaciones																																																								
191	pesado	be¹e²					chal11	swanton2020observaciones																																																								
192	crudo	(ʔ¹)-jɨ́ʔɨ́					prom01	swanton2020observaciones																																																								
192	crudo	i⁴ʔi³					alco11	swanton2020observaciones																																																								
192	crudo	i²ʔi²					zaca11	swanton2020observaciones																																																								
192	crudo	ji³ʔi³					chal11	swanton2020observaciones																																																								
192	crudo	ji³ʔi³					yucu16	swanton2020observaciones																																																								
194	despacio	ʔ-kʷéè					prom01	swanton2020observaciones																																																								
194	despacio	kʷe⁴e²					alco11	swanton2020observaciones																																																								
194	despacio	kʷe²e³					zaca11	swanton2020observaciones																																																								
194	despacio	kʷe³e³					chal11	swanton2020observaciones																																																								
194	despacio	kɥe³e³					yucu16	swanton2020observaciones																																																								
195	ayer	íkú-(ní)	íkú-ní				prom01	swanton2020observaciones																																																								
195	ayer	ku³ni³					alco11	swanton2020observaciones																																																								
195	ayer	i²ku²					zaca11	swanton2020observaciones																																																								
195	ayer	i²ku²					chal11	swanton2020observaciones																																																								
