IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
15,achi,tortilla,tortilla,šita
16,achi,vomits,vomita,NA
17,achi,lazy,flojo,[kuši]
18,achi,bed,cama,xito
19,achi,griddle,comal,xio
20,achi,sin,culpa,kʷeči
21,achi,bean,frijol,ⁿduči
22,achi,water,agua,ⁿdute
23,achi,river,río,žute
24,achi,mud,lodo,ⁿdeʔžu
25,achi,man's brother,hermano de h.,ņa̧ni̧
26,achi,three,tres,u̧ni̧
27,achi,tooth,diente,nu̧ʔu̧
28,achi,five,cinco,u̧ʔu̧
29,achi,bitter,amargo,uwa
30,achi,meat,carne,ku̧ņu̧
31,achi,red,rojo,kʷaʔa
32,achi,(he) went,se fue,kʷa̧ʔa̧
33,achi,seven,siete,uxa
34,achi,thread,hilo,žuʔƀa
35,achi,animal,animal,kiti
36,achi,it finishes,se acaba,ⁿdiʔi
37,achi,egg,blanquillo,ⁿdiƀi
38,achi,foam,espuma,ti ʔi̧ņu̧
39,achi,blood,sangre,ni̧ņi̧
40,achi,husband,marido,žii
41,achi,salt,sal,ņi̧i̧
42,achi,net bag,red,ņu̧nu̧
43,achi,gourd,jícara,žaxi̧
44,achi,squash,calabaza,NA
45,achi,coati,tejón coatí,[ma̧ʔa̧]
46,achi,food,comida,ⁿdežu
47,achi,salty,salado,uʔwa
48,achi,blouse,huipil,[su̧ʔnu̧]=camisa
49,achi,work,trabajo,sa tiu
50,achi,cotton,algodón,kači
51,achi,wind,viento,tači
52,achi,man,hombre,te žii
53,achi,round,redondon,[ti ⁿduu]
54,achi,oven,horno,ʔšitnu̧
55,achi,box / drawer,cajón,NA
56,achi,mosquito,zancudo,kʷaņi̧
57,achi,wait for,esperar,ⁿdetu
58,achi,rotten,podrido,teʔžu
59,achi,grab,agarrar,tNi̧i̧
60,achi,tendon,tendón,tuči
61,achi,blow,soplar,tiƀi
62,achi,handspan,cuarta,[ni̧ kani̧]
63,achi,owner,dueño,[ma̧a̧ ⁿdi]
64,achi,lay (egg),poner (huevo),[so nȩȩ]
65,achi,big (sg.),grande (sg.),kaʔnu̧
66,achi,neck,cuello,suku̧
67,achi,will come,va a venir,kia
68,achi,horn,cuerno,ⁿdiki
69,achi,snake,culebra,koo
70,achi,ugly,feo,kini̧
71,achi,hill,cerro,žuku
72,achi,armadillo,armadillo,žaku̧
73,achi,crooked,chueco,žakʷa
74,achi,year,año,kʷi̧aa
75,achi,eyebrow,ceja,sukʷa
76,achi,pus,pus,lakʷa=moco
77,achi,demon,demonio,kʷi̧ʔņa=lađrón
78,achi,yellow,amarillo,kʷa̧a̧
79,achi,sew,coser,kiku
80,achi,will carry,va a cargar,xiso
81,achi,that,aquel,žuka̧
82,achi,below,abajo,[xaʔi]
83,achi,all night,toda la noche,[xa kʷaa]
84,achi,hot,caliente,i̧ʔni̧
85,achi,grain of corn,maíz,nu̧ni̧
86,achi,wall,pared,na̧ma̧
87,achi,early,temprano,nȩʔȩ
88,achi,open,abierto,nu̧nȩ
89,achi,eight,ocho,u̧na̧
90,achi,tomato,jitomate,ti na̧na̧
91,achi,green bean,ejote,ⁿdiči
92,achi,half,mitad,saƀa
93,achi,cane,caña,ⁿdoo
94,achi,clay pot,olla,kisi
95,achi,liquor,aguardiente,ⁿdiši
96,achi,honey,miel,ⁿduši
97,achi,armpit,sobaco,NA
98,achi,tassel,espiga,žoko
99,achi,people,gente,ņa̧ žiƀi
100,achi,town,pueblo,ņu̧u̧
101,achi,smoke,humo,ņu̧ʔma̧
102,achi,eat,comer,xaa
103,achi,hawk,gavilán,[ši̧ʔņa̧]
103,achi,hawk,gavilán,[ņa̧mi̧]
104,achi,truth,verdad,[ka ⁿdaā]
105,achi,fire,lumbre,ņu̧ʔu̧
106,achi,six,seis,i̧ņu̧
107,achi,fingernail,uņa,tNi̧i̧
108,achi,cornstalk,rastrojo,ņa̧ma̧
109,achi,cornmeal,masa,žuxa̧
110,achi,child,hijo,seʔe
111,achi,"cold, phlegm",catarro,sažu
112,achi,good,bueno,ƀaʔa
113,achi,because,porque,[ņa kuu]
114,achi,this one,este mismo,ma̧a̧
115,achi,is coming,ya viene,ƀaxi
116,achi,trash,basura,mi̧ʔi̧
117,achi,cat,gato,ƀilu
118,achi,prickly pear,nopal,ƀi̧ʔⁿde
119,achi,foot,pie,[si̧ʔi̧]
120,achi,cut,cortar,xȩʔⁿde
