IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
4,amat,four,cuatro,ku̧mi̧
5,amat,feather,pluma,tu̧mi̧
6,amat,tail,cola,[ⁿdoʔo]
7,amat,wax,cera,ño̧ma̧
8,amat,nose,nariz,điči
9,amat,word,palabra,tu̧ʔu̧
10,amat,near,está cerca,žači̧
11,amat,tree,árbol,žutu̧
12,amat,deer,venado,sa-kʷaa
13,amat,lard,manteca,đa̧ʔa̧
14,amat,smell,olor,[sa̧ʔa̧]
15,amat,tortilla,tortilla,đita
16,amat,vomits,vomita,NA
17,amat,lazy,flojo,NA
18,amat,bed,cama,šitu
19,amat,griddle,comal,šoo
20,amat,sin,culpa,NA
21,amat,bean,frijol,ⁿǰuči
22,amat,water,agua,[či kʷii]
23,amat,river,río,yuča
24,amat,mud,lodo,ⁿǰeʔi
25,amat,man's brother,hermano de h.,ña̧ni̧
26,amat,three,tres,u̧ni̧
27,amat,tooth,diente,NA
28,amat,five,cinco,u̧ʔu̧
29,amat,bitter,amargo,NA
30,amat,meat,carne,ku̧ñu̧
31,amat,red,rojo,kʷaʔa
32,amat,(he) went,se fue,[sa̧ʔa̧]
33,amat,seven,siete,usa
34,amat,thread,hilo,žoʔo
35,amat,animal,animal,kiči
36,amat,it finishes,se acaba,NA
37,amat,egg,blanquillo,ⁿyiƀi
38,amat,foam,espuma,i̧ñu̧
39,amat,blood,sangre,ni̧i̧
40,amat,husband,marido,ii
41,amat,salt,sal,i̧i̧
42,amat,net bag,red,[ređe]
43,amat,gourd,jícara,yaši
44,amat,squash,calabaza,iki
45,amat,coati,tejón coatí,NA
46,amat,food,comida,NA
47,amat,salty,salado,NA
48,amat,blouse,huipil,NA
49,amat,work,trabajo,ču̧u̧
50,amat,cotton,algodón,kači
51,amat,wind,viento,tači
52,amat,man,hombre,ta čaa
53,amat,round,redondon,ti kača
54,amat,oven,horno,šitu
55,amat,box / drawer,cajón,[kaxa]
56,amat,mosquito,zancudo,[ti ñu̧ku]
57,amat,wait for,esperar,ⁿǰači
58,amat,rotten,podrido,čeʔi
59,amat,grab,agarrar,či̧i̧
60,amat,tendon,tendón,NA
61,amat,blow,soplar,[sa̧ʔmi̧]
62,amat,handspan,cuarta,NA
63,amat,owner,dueño,NA
64,amat,lay (egg),poner (huevo),NA
65,amat,big (sg.),grande (sg.),kaʔnu̧
66,amat,neck,cuello,điku
67,amat,will come,va a venir,kiši
68,amat,horn,cuerno,ⁿdiki
68,amat,horn,cuerno,nyiki
69,amat,snake,culebra,NA
70,amat,ugly,feo,NA
71,amat,hill,cerro,žuku
72,amat,armadillo,armadillo,NA
73,amat,crooked,chueco,NA
74,amat,year,año,kʷia
75,amat,eyebrow,ceja,NA
76,amat,pus,pus,ⁿdakʷa
77,amat,demon,demonio,NA
78,amat,yellow,amarillo,kʷa̧a̧
79,amat,sew,coser,kiki
80,amat,will carry,va a cargar,kʷa̧ʔa̧ kʷiđo
81,amat,that,aquel,(-xa̧)
82,amat,below,abajo,NA
83,amat,all night,toda la noche,NA
84,amat,hot,caliente,NA
85,amat,grain of corn,maíz,nu̧ni̧
86,amat,wall,pared,na̧ma̧
87,amat,early,temprano,na̧ʔa̧
88,amat,open,abierto,su̧na̧
89,amat,eight,ocho,u̧na̧
90,amat,tomato,jitomate,NA
91,amat,green bean,ejote,NA
92,amat,half,mitad,đaƀa
93,amat,cane,caña,ⁿdoo
94,amat,clay pot,olla,NA
95,amat,liquor,aguardiente,[ⁿǰʸuča]
96,amat,honey,miel,[ñu̧ñu̧]
97,amat,armpit,sobaco,leʔe
98,amat,tassel,espiga,NA
99,amat,people,gente,ña̧ ʔiƀi
100,amat,town,pueblo,ñu̧u̧
101,amat,smoke,humo,ño̧ʔma̧
102,amat,eat,comer,saši
103,amat,hawk,gavilán,NA
104,amat,truth,verdad,NA
105,amat,fire,lumbre,ñu̧ʔu̧
106,amat,six,seis,i̧ñu̧
107,amat,fingernail,uņa,či̧i̧
108,amat,cornstalk,rastrojo,NA
109,amat,cornmeal,masa,yusa̧
110,amat,child,hijo,đeʔe
111,amat,"cold, phlegm",catarro,NA
112,amat,good,bueno,NA
113,amat,because,porque,[a(wa)]
114,amat,this one,este mismo,mi̧i̧
114,amat,this one,este mismo,mȩȩ=niño
115,amat,is coming,ya viene,ƀaši
116,amat,trash,basura,NA
117,amat,cat,gato,(čutu)
118,amat,prickly pear,nopal,NA
119,amat,foot,pie,saʔa
120,amat,cut,cortar,saʔⁿdʸa
121,amat,fifteen,quince,sa̧ʔu̧
122,amat,guts,tripas,(tiši)=estómago
123,amat,ten,diez,uši
124,amat,cold,frío,ƀiši
125,amat,sandal,huarache,ⁿǰisa
126,amat,housepot,horcón,NA
127,amat,name,nombre,kiƀi
128,amat,cacao,cacao,či điʔwa
128,amat,cacao,cacao,či điʔwo
129,amat,ear,oreja,đoʔo
130,amat,tasty,sabroso,NA
131,amat,closed,cerrado,kađi
132,amat,day after tomorrow,pasado mañana,NA
133,amat,sweet,dulce,ƀiđi
134,amat,now,ahora,NA
135,amat,hole,agujero,NA
136,amat,afraid,tiene miedo,žuʔu
137,amat,poor,pobre,NA
138,amat,two,dos,uƀi
139,amat,scorpion,alacrán,NA
140,amat,go out,salir,NA
141,amat,paint,pintar,NA
142,amat,rat,rata,či či̧i̧
143,amat,swelling,hinchazón,NA
144,amat,pimple,grano,ⁿǰiʔi
145,amat,it thunders,truena,kaʔⁿǰi
146,amat,rainbow,arco iris,NA
147,amat,bird,pájaro,laa
148,amat,frog,rana,[ti rana]
149,amat,navel,ombligo,NA
150,amat,urine,orina,NA
151,amat,chachalaca,chachalaca,NA
152,amat,smooth,lisa,NA
153,amat,little,chico,loʔo
154,amat,day,día,kiƀi
155,amat,when,cuándo,[ⁿda kii]
156,amat,plain,llano,yoo
157,amat,how,cómo,[ⁿǰa kađa]
158,amat,carry,cargar,ku ⁿǰiđo
159,amat,cockroach,cucaracha,NA
160,amat,glue,pegamento,NA
161,amat,sickness,enfermedad,kʷeʔe
162,amat,see,ver,ⁿdeʔe
163,amat,slow,despacio,kʷee-ni
164,amat,house,casa,ƀeʔe
165,amat,mamey,mamey,NA
166,amat,grind,moler,NA
167,amat,wing,ala,NA
168,amat,stool,banquito,[ƀanku]
169,amat,cornfield,milpa,iči
169,amat,cornfield,milpa,iti
170,amat,yesterday,ayer,[kuni]
171,amat,other,otro,NA
172,amat,comb,peine,NA
173,amat,be born,se nació,NA
174,amat,smart,sabio,NA
175,amat,stone,piedra,žuu
176,amat,mouth,boca,NA
177,amat,I,yo,žuʔu
178,amat,dew,rocío,NA
179,amat,brush,hierba,NA
180,amat,furrow,surco,NA
181,amat,trousers,calzón,NA
182,amat,priest,sacerdote,NA
183,amat,brand,fierro,NA
184,amat,will know,sabrá,[ni̧ tu̧ʔu̧]
185,amat,squirrel,ardilla,[mu̧tu]
186,amat,loose,floja,NA
187,amat,heavy,pesado,ƀee
188,amat,tobacco,tobaco,NA
1,zap,rain,lluvia,(ku̧u̧) đawi
2,zap,agave,maguey,yawi
3,zap,straw mat,petate,yuu
4,zap,four,cuatro,ko̧mi̧
5,zap,feather,pluma,to̧mi̧
6,zap,tail,cola,[ⁿdoʔo]
7,zap,wax,cera,ño̧ma̧
8,zap,nose,nariz,điči
9,zap,word,palabra,NA
10,zap,near,está cerca,yači
11,zap,tree,árbol,yuto
12,zap,deer,venado,sa-kʷaa
13,zap,lard,manteca,đa̧ʔa̧
14,zap,smell,olor,điko
15,zap,tortilla,tortilla,đita
16,zap,vomits,vomita,ⁿdʸusa̧
17,zap,lazy,flojo,đusa̧
18,zap,bed,cama,šito
19,zap,griddle,comal,šoo
20,zap,sin,culpa,kʷači
21,zap,bean,frijol,ⁿdʸuči
22,zap,water,agua,[te kʷii]
22,zap,water,agua,ⁿdʸute
22,zap,water,agua,ⁿsʸute
23,zap,river,río,yute
24,zap,mud,lodo,ⁿdeʔyu
25,zap,man's brother,hermano de h.,ña̧ni̧
26,zap,three,tres,o̧ni̧
27,zap,tooth,diente,no̧ʔo̧
28,zap,five,cinco,o̧ʔo̧
29,zap,bitter,amargo,ʔwaa
30,zap,meat,carne,ko̧ño̧
31,zap,red,rojo,kʷaʔa
32,zap,(he) went,se fue,xʷa̧ʔa̧
33,zap,seven,siete,usa
34,zap,thread,hilo,yuʔa
35,zap,animal,animal,kiȼi
36,zap,it finishes,se acaba,ⁿsiʔi
37,zap,egg,blanquillo,ⁿsiwi
38,zap,foam,espuma,či ʔi̧ñu̧
39,zap,blood,sangre,nì̧ì̧
40,zap,husband,marido,ii
41,zap,salt,sal,ì̧ì̧
42,zap,net bag,red,ño̧no̧
43,zap,gourd,jícara,yašI
44,zap,squash,calabaza,iki̧
45,zap,coati,tejón coatí,[ȼi ma̧ʔa̧]
46,zap,food,comida,ⁿdeyu
47,zap,salty,salado,ʔwaʔa
48,zap,blouse,huipil,NA
49,zap,work,trabajo,ču̧u̧
50,zap,cotton,algodón,kači
51,zap,wind,viento,tači
52,zap,man,hombre,te ii
53,zap,round,redondon,ȼi kate
54,zap,oven,horno,šito
55,zap,box / drawer,cajón,sato̧
56,zap,mosquito,zancudo,NA
57,zap,wait for,esperar,ⁿdetʸu
58,zap,rotten,podrido,teʔyu
59,zap,grab,agarrar,ȼi̧i̧
60,zap,tendon,tendón,tʸuči
61,zap,blow,soplar,ȼiwi
62,zap,handspan,cuarta,NA
63,zap,owner,dueño,stoʔo
64,zap,lay (egg),poner (huevo),saki̧
65,zap,big (sg.),grande (sg.),kaʔno̧
66,zap,neck,cuello,đika̧
67,zap,will come,va a venir,wiši
68,zap,horn,cuerno,ⁿsiki
69,zap,snake,culebra,koo
70,zap,ugly,feo,kini̧ kaa
71,zap,hill,cerro,yuku
72,zap,armadillo,armadillo,yakʷi̧
72,zap,armadillo,armadillo,[čiyo]
73,zap,crooked,chueco,yakʷa
74,zap,year,año,kʷia
75,zap,eyebrow,ceja,điku̧
76,zap,pus,pus,ⁿdakʷa
77,zap,demon,demonio,te kʷi̧ʔna̧
78,zap,yellow,amarillo,kʷa̧a̧
79,zap,sew,coser,kiku
80,zap,will carry,va a cargar,na̧ kʷiđo
81,zap,that,aquel,yikʷa̧
82,zap,below,abajo,ni̧nu̧
83,zap,all night,toda la noche,[ñu̧u̧]
84,zap,hot,caliente,i̧ʔni̧
85,zap,grain of corn,maíz,no̧ni̧
86,zap,wall,pared,na̧ma̧
87,zap,early,temprano,nȩʔȩ
88,zap,open,abierto,nu̧na̧
89,zap,eight,ocho,o̧na̧
90,zap,tomato,jitomate,ȼi na̧na̧
91,zap,green bean,ejote,ⁿsiči
92,zap,half,mitad,đawa
93,zap,cane,caña,ⁿdoo
94,zap,clay pot,olla,kiđi
95,zap,liquor,aguardiente,[ⁿdʸute]
95,zap,liquor,aguardiente,ⁿsiđi=pulque
96,zap,honey,miel,[ñu̧ñu̧]
96,zap,honey,miel,ⁿdʸuđi
97,zap,armpit,sobaco,čiko leʔe
98,zap,tassel,espiga,yoko
99,zap,people,gente,ña̧ ʔiwi
100,zap,town,pueblo,ño̧o̧
101,zap,smoke,humo,ño̧ʔma̧
102,zap,eat,comer,šiši
103,zap,hawk,gavilán,[ȼi đi̧ʔa̧]
103,zap,hawk,gavilán,ȼi tađi
104,zap,truth,verdad,[ⁿdaa]
104,zap,truth,verdad,[ⁿsʸisa]
105,zap,fire,lumbre,ño̧ʔo̧
106,zap,six,seis,i̧ño̧
107,zap,fingernail,uņa,či̧i̧
108,zap,cornstalk,rastrojo,tu ña̧ma̧
109,zap,cornmeal,masa,yusa
110,zap,child,hijo,đeʔe
111,zap,"cold, phlegm",catarro,NA
112,zap,good,bueno,waʔa
113,zap,because,porque,či
114,zap,this one,este mismo,mi̧i̧
114,zap,this one,este mismo,mȩȩ
115,zap,is coming,ya viene,waši
116,zap,trash,basura,mi̧ʔi̧
117,zap,cat,gato,(šitʸu)
118,zap,prickly pear,nopal,wi̧ʔⁿde
119,zap,foot,pie,saʔa
120,zap,cut,cortar,saʔⁿde
121,zap,fifteen,quince,sa̧ʔu̧
122,zap,guts,tripas,šiȼi
123,zap,ten,diez,uši
124,zap,cold,frío,[kaši]
124,zap,cold,frío,wiši̧
125,zap,sandal,huarache,ⁿsʸisa̧
125,zap,sandal,huarache,ⁿdʸisa̧
126,zap,housepot,horcón,đi̧ʔɨ͂
127,zap,name,nombre,NA
128,zap,cacao,cacao,đuʔa
129,zap,ear,oreja,đoʔo
130,zap,tasty,sabroso,ađi
131,zap,closed,cerrado,ⁿdeđi
132,zap,day after tomorrow,pasado mañana,iđa
133,zap,sweet,dulce,wiđi
134,zap,now,ahora,wiči
135,zap,hole,agujero,yawi
136,zap,afraid,tiene miedo,yuʔi
137,zap,poor,pobre,ⁿdaʔwi
138,zap,two,dos,uu
139,zap,scorpion,alacrán,ȼi đo̧ʔma̧
140,zap,go out,salir,kee
141,zap,paint,pintar,NA
142,zap,rat,rata,ȼi ti̧i̧
143,zap,swelling,hinchazón,[nȩñu̧]
144,zap,pimple,grano,ⁿsiʔi
145,zap,it thunders,truena,ka̧ʔⁿsi
146,zap,rainbow,arco iris,ȼi ya̧ⁿǰi
147,zap,bird,pájaro,ȼi laa
148,zap,frog,rana,ȼi laʔwa
149,zap,navel,ombligo,lȩⁿdʸu
150,zap,urine,orina,te đeđe
151,zap,chachalaca,chachalaca,ȼi ⁿdasa
152,zap,smooth,lisa,ⁿsiʔwi
153,zap,little,chico,[ȼii]
154,zap,day,día,kii
155,zap,when,cuándo,[ⁿde kii]
156,zap,plain,llano,yođo
157,zap,how,cómo,[ⁿde ⁿdʸüa]
158,zap,carry,cargar,ⁿdiđo
159,zap,cockroach,cucaracha,[ȼiši waa]
160,zap,glue,pegamento,ⁿdeka
161,zap,sickness,enfermedad,kʷeʔe
162,zap,see,ver,ⁿdeʔe
163,zap,slow,despacio,kʷee
164,zap,house,casa,weʔe
165,zap,mamey,mamey,ⁿǰika
166,zap,grind,moler,ⁿčiko
167,zap,wing,ala,ⁿdʸiši
167,zap,wing,ala,ⁿsʸiši
168,zap,stool,banquito,teyu
169,zap,cornfield,milpa,itʸu
170,zap,yesterday,ayer,iku
171,zap,other,otro,tʸuku
172,zap,comb,peine,kʷika
173,zap,be born,se nació,kaku
174,zap,smart,sabio,tʸuʔwa
175,zap,stone,piedra,yuu
176,zap,mouth,boca,yuʔu
177,zap,I,yo,yuʔu
178,zap,dew,rocío,[kaši]
178,zap,dew,rocío,yuyu
179,zap,brush,hierba,yuku
180,zap,furrow,surco,yuku̧
181,zap,trousers,calzón,satʸu
182,zap,priest,sacerdote,đutʸu
183,zap,brand,fierro,to̧ni̧
184,zap,will know,sabrá,[koto̧ni̧]
185,zap,squirrel,ardilla,[ti arđiya]
186,zap,loose,floja,[đaya]
187,zap,heavy,pesado,wee
188,zap,tobacco,tobaco,ni̧no̧
188,zap,tobacco,tobaco,i̧no̧=cigarro
1,cac,rain,lluvia,đaƀi
2,cac,agave,maguey,žawi
3,cac,straw mat,petate,žüü
4,cac,four,cuatro,ko̧mi̧
5,cac,feather,pluma,to̧mi̧
6,cac,tail,cola,[ⁿdoʔo]
7,cac,wax,cera,ñi̧ma̧
8,cac,nose,nariz,điči̧
9,cac,word,palabra,tu̧ʔu̧
10,cac,near,está cerca,žati̧
11,cac,tree,árbol,žitu̧
12,cac,deer,venado,sa-kʷaa
13,cac,lard,manteca,đȩʔȩ
14,cac,smell,olor,điko
15,cac,tortilla,tortilla,đita
16,cac,vomits,vomita,ⁿdüsa
17,cac,lazy,flojo,đüsa
18,cac,bed,cama,šito
19,cac,griddle,comal,šoo
20,cac,sin,culpa,kʷači
21,cac,bean,frijol,ⁿdʸuči
22,cac,water,agua,[te kʷii]
23,cac,river,río,žute
24,cac,mud,lodo,ⁿdei̭ʔi
25,cac,man's brother,hermano de h.,ña̧ni̧
26,cac,three,tres,o̧ni̧
27,cac,tooth,diente,no̧ʔo̧
28,cac,five,cinco,o̧ʔo̧
29,cac,bitter,amargo,owa
30,cac,meat,carne,ko̧ño̧
31,cac,red,rojo,kʷaʔa
32,cac,(he) went,se fue,kʷa̧ʔa̧
33,cac,seven,siete,üsa
34,cac,thread,hilo,žüa(ʔa)
35,cac,animal,animal,kiti
36,cac,it finishes,se acaba,ⁿdi(ʔ)i
37,cac,egg,blanquillo,ⁿdiƀi
38,cac,foam,espuma,či i̧ỹo̧
39,cac,blood,sangre,ni̧i̧
40,cac,husband,marido,ii
41,cac,salt,sal,i̧i̧
42,cac,net bag,red,NA
43,cac,gourd,jícara,žašI
44,cac,squash,calabaza,iki̧
45,cac,coati,tejón coatí,[texón]
46,cac,food,comida,[na kuhi]
47,cac,salty,salado,owaʔa
48,cac,blouse,huipil,[đo̧no̧]
49,cac,work,trabajo,čo̧o̧
50,cac,cotton,algodón,kači
51,cac,wind,viento,tači
52,cac,man,hombre,te ʔii
53,cac,round,redondon,[ti ⁿdüa]
54,cac,oven,horno,šito̧
55,cac,box / drawer,cajón,satu̧
56,cac,mosquito,zancudo,[sanɡuđo]
57,cac,wait for,esperar,ⁿdete
58,cac,rotten,podrido,teya
59,cac,grab,agarrar,ti̧i̧
60,cac,tendon,tendón,tüči
61,cac,blow,soplar,tüü
62,cac,handspan,cuarta,NA
63,cac,owner,dueño,is tua(ʔa)
63,cac,owner,dueño,[na̧ʔa̧]
64,cac,lay (egg),poner (huevo),saki (ti)
65,cac,big (sg.),grande (sg.),ka(ʔ)nu̧
66,cac,neck,cuello,điku̧
67,cac,will come,va a venir,wai
67,cac,will come,va a venir,kisa
68,cac,horn,cuerno,ⁿdiki̧
69,cac,snake,culebra,NA
70,cac,ugly,feo,NA
71,cac,hill,cerro,žükü
72,cac,armadillo,armadillo,[armađiža]
73,cac,crooked,chueco,[žoʔa]
73,cac,crooked,chueco,žakʷa
74,cac,year,año,küa
75,cac,eyebrow,ceja,[leko̧]
76,cac,pus,pus,ⁿdakʷa
77,cac,demon,demonio,kʷena=ladrón
78,cac,yellow,amarillo,kʷa̧a̧
79,cac,sew,coser,kükü
80,cac,will carry,va a cargar,(ko) ⁿdiđo
81,cac,that,aquel,kaa
82,cac,below,abajo,ni̧no̧
83,cac,all night,toda la noche,[ño̧o̧]
84,cac,hot,caliente,i̧ni̧
85,cac,grain of corn,maíz,no̧ni̧
86,cac,wall,pared,na̧ma̧
87,cac,early,temprano,nȩ(ʔ)ȩ
88,cac,open,abierto,no̧na̧
89,cac,eight,ocho,o̧na̧
90,cac,tomato,jitomate,ti na̧na̧ (na̧ʔnu̧)
91,cac,green bean,ejote,ⁿdiči
92,cac,half,mitad,đaƀa
93,cac,cane,caña,ⁿdoo
94,cac,clay pot,olla,kiđi
95,cac,liquor,aguardiente,[ⁿdute ini]
95,cac,liquor,aguardiente,ⁿdiđi=pulque
96,cac,honey,miel,NA
97,cac,armpit,sobaco,(či) đeʔe
98,cac,tassel,espiga,(ti) žoko
99,cac,people,gente,ña̧ iƀi
100,cac,town,pueblo,ño̧o̧
101,cac,smoke,humo,ñi̧ʔma̧
102,cac,eat,comer,šiša
103,cac,hawk,gavilán,[ža(ʔ)a]
104,cac,truth,verdad,ⁿdisa
105,cac,fire,lumbre,ñó̧(ʔ)ò̧
106,cac,six,seis,i̧ño̧
107,cac,fingernail,uņa,či̧i̧
108,cac,cornstalk,rastrojo,ni̧ ña̧ma̧=corn in ear
109,cac,cornmeal,masa,žüsa
110,cac,child,hijo,đee
111,cac,"cold, phlegm",catarro,đai
112,cac,good,bueno,(o)ƀa(ʔ)a
113,cac,because,porque,na̧
113,cac,because,porque,čii
113,cac,because,porque,na̧čo
114,cac,this one,este mismo,NA
115,cac,is coming,ya viene,wai
115,cac,is coming,ya viene,waši
116,cac,trash,basura,(šee)
116,cac,trash,basura,mi̧ʔi̧
117,cac,cat,gato,(ti čütü)
118,cac,prickly pear,nopal,(to) ƀȩʔⁿde
119,cac,foot,pie,saʔa
120,cac,cut,cortar,šeʔⁿde
121,cac,fifteen,quince,sa̧ʔu̧(ʔu)
122,cac,guts,tripas,šiti
123,cac,ten,diez,üši
124,cac,cold,frío,ƀiši̧
125,cac,sandal,huarache,ⁿdisa̧
126,cac,housepot,horcón,đi̧i̧
127,cac,name,nombre,kiƀi
128,cac,cacao,cacao,θüʔa
129,cac,ear,oreja,loo
130,cac,tasty,sabroso,ađi
131,cac,closed,cerrado,NA
132,cac,day after tomorrow,pasado mañana,iđa
133,cac,sweet,dulce,wiđi
134,cac,now,ahora,ƀiči̧
134,cac,now,ahora,žači̧
135,cac,hole,agujero,žawi
136,cac,afraid,tiene miedo,žüi
137,cac,poor,pobre,ⁿdaƀi
138,cac,two,dos,üü
139,cac,scorpion,alacrán,ti đi̧ʔma̧
140,cac,go out,salir,kee
141,cac,paint,pintar,kai
142,cac,rat,rata,[ti žoto]
143,cac,swelling,hinchazón,[kü a̧o̧]
144,cac,pimple,grano,ⁿdii
145,cac,it thunders,truena,ka̧(ʔ)ⁿdi
146,cac,rainbow,arco iris,ti koo ži̧ⁿči
147,cac,bird,pájaro,ti laa
148,cac,frog,rana,[lokoⁿde]
149,cac,navel,ombligo,lȩⁿde
150,cac,urine,orina,te đeđe
151,cac,chachalaca,chachalaca,[čačalaka]
152,cac,smooth,lisa,[čia]
153,cac,little,chico,lilü
154,cac,day,día,kii
155,cac,when,cuándo,[na̧ (kii)]
156,cac,plain,llano,[ⁿdaa]
156,cac,plain,llano,yođo
157,cac,how,cómo,a ⁿdʸaa
158,cac,carry,cargar,[đakio]
159,cac,cockroach,cucaracha,[kukarača]
160,cac,glue,pegamento,[na ti̧i̧]
161,cac,sickness,enfermedad,küee
162,cac,see,ver,ⁿdee
163,cac,slow,despacio,küee
164,cac,house,casa,wee
165,cac,mamey,mamey,čika saʔa
166,cac,grind,moler,čiko
167,cac,wing,ala,ⁿdiši̧
168,cac,stool,banquito,tei
169,cac,cornfield,milpa,iti
170,cac,yesterday,ayer,[koni]
171,cac,other,otro,NA
172,cac,comb,peine,kuka
173,cac,be born,se nació,kaku
174,cac,smart,sabio,[kama]
175,cac,stone,piedra,žüü
176,cac,mouth,boca,žüü
177,cac,I,yo,žüʔü
178,cac,dew,rocío,[na kati]
179,cac,brush,hierba,žükü
180,cac,furrow,surco,žiku̧
181,cac,trousers,calzón,sati
182,cac,priest,sacerdote,đütü
183,cac,brand,fierro,[marka]
184,cac,will know,sabrá,[ko ⁿdee]
185,cac,squirrel,ardilla,[arđiya]
186,cac,loose,floja,na̧ tei
187,cac,heavy,pesado,ƀee
188,cac,tobacco,tobaco,i̧no̧=cigarro
1,ndo,rain,lluvia,sau
2,ndo,agave,maguey,žau
3,ndo,straw mat,petate,žuu
4,ndo,four,cuatro,ku̧u̧ⁿ
5,ndo,feather,pluma,tu̧u̧
6,ndo,tail,cola,[ⁿdoʔo]
7,ndo,wax,cera,ñu̧a̧
8,ndo,nose,nariz,šti̧i̧
9,ndo,word,palabra,tu̧ʔu̧
10,ndo,near,está cerca,NA
11,ndo,tree,árbol,žutu̧
12,ndo,deer,venado,isu
13,ndo,lard,manteca,šȩʔȩ
14,ndo,smell,olor,šiko
15,ndo,tortilla,tortilla,staa
16,ndo,vomits,vomita,NA
17,ndo,lazy,flojo,NA
18,ndo,bed,cama,xito
19,ndo,griddle,comal,xio
20,ndo,sin,culpa,NA
21,ndo,bean,frijol,ⁿduči
22,ndo,water,agua,ⁿdute
23,ndo,river,río,žute
24,ndo,mud,lodo,ⁿdeʔi
25,ndo,man's brother,hermano de h.,ña̧ni̧
26,ndo,three,tres,u̧ni̧
27,ndo,tooth,diente,NA
28,ndo,five,cinco,u̧ʔu̧
29,ndo,bitter,amargo,NA
30,ndo,meat,carne,ku̧ñu̧
31,ndo,red,rojo,kʷaʔa
32,ndo,(he) went,se fue,[xa̧ʔa̧]
33,ndo,seven,siete,uxa
34,ndo,thread,hilo,žuʔa
34,ndo,thread,hilo,šuʔa
35,ndo,animal,animal,kiti
36,ndo,it finishes,se acaba,NA
37,ndo,egg,blanquillo,ⁿdiƀi
38,ndo,foam,espuma,i̧·ñu̧
39,ndo,blood,sangre,ni̧ñi̧
40,ndo,husband,marido,žii
41,ndo,salt,sal,ñi̧i̧
42,ndo,net bag,red,ñu̧nu̧
43,ndo,gourd,jícara,žaxi̧
44,ndo,squash,calabaza,žɨku̧
45,ndo,coati,tejón coatí,NA
46,ndo,food,comida,NA
47,ndo,salty,salado,NA
48,ndo,blouse,huipil,NA
49,ndo,work,trabajo,tiu̧
50,ndo,cotton,algodón,kači
51,ndo,wind,viento,tači
52,ndo,man,hombre,tee
53,ndo,round,redondon,ti kute
54,ndo,oven,horno,xitu
55,ndo,box / drawer,cajón,[kaxa]
56,ndo,mosquito,zancudo,[ti žuku̧]
57,ndo,wait for,esperar,ⁿdetu
58,ndo,rotten,podrido,teʔi
59,ndo,grab,agarrar,[kako]
60,ndo,tendon,tendón,NA
61,ndo,blow,soplar,tiƀi
62,ndo,handspan,cuarta,NA
63,ndo,owner,dueño,NA
64,ndo,lay (egg),poner (huevo),NA
65,ndo,big (sg.),grande (sg.),kaʔnu̧
66,ndo,neck,cuello,suku̧
67,ndo,will come,va a venir,kii
68,ndo,horn,cuerno,ⁿdiki
69,ndo,snake,culebra,NA
70,ndo,ugly,feo,NA
71,ndo,hill,cerro,[ti ⁿduu]
72,ndo,armadillo,armadillo,NA
73,ndo,crooked,chueco,NA
74,ndo,year,año,kʷia
75,ndo,eyebrow,ceja,NA
76,ndo,pus,pus,ⁿdakʷa
77,ndo,demon,demonio,NA
78,ndo,yellow,amarillo,kʷa̧a̧
79,ndo,sew,coser,kiku
80,ndo,will carry,va a cargar,kuso
81,ndo,that,aquel,ñu̧a̧
81,ndo,that,aquel,žu̧a̧
82,ndo,below,abajo,NA
83,ndo,all night,toda la noche,NA
84,ndo,hot,caliente,NA
85,ndo,grain of corn,maíz,nu̧ni̧
86,ndo,wall,pared,žika na̧ma̧
87,ndo,early,temprano,xa nȩʔȩ
88,ndo,open,abierto,[taʔu]
89,ndo,eight,ocho,u̧na̧
90,ndo,tomato,jitomate,NA
91,ndo,green bean,ejote,NA
92,ndo,half,mitad,saƀa
93,ndo,cane,caña,ⁿdoo
94,ndo,clay pot,olla,NA
95,ndo,liquor,aguardiente,điši
96,ndo,honey,miel,ⁿduši
97,ndo,armpit,sobaco,či leʔe
98,ndo,tassel,espiga,NA
99,ndo,people,gente,ña̧ žii
100,ndo,town,pueblo,ñu̧u̧
101,ndo,smoke,humo,ñu̧ʔa̧
102,ndo,eat,comer,xaa
103,ndo,hawk,gavilán,NA
104,ndo,truth,verdad,NA
105,ndo,fire,lumbre,ñu̧ʔu̧
106,ndo,six,seis,i̧ñu̧
107,ndo,fingernail,uņa,ti̧i̧
108,ndo,cornstalk,rastrojo,NA
109,ndo,cornmeal,masa,žuxa̧
110,ndo,child,hijo,seʔe
111,ndo,"cold, phlegm",catarro,NA
112,ndo,good,bueno,NA
113,ndo,because,porque,či
114,ndo,this one,este mismo,ma̧a̧
115,ndo,is coming,ya viene,ƀaxi
116,ndo,trash,basura,NA
117,ndo,cat,gato,ƀilu
118,ndo,prickly pear,nopal,NA
119,ndo,foot,pie,xaʔa
120,ndo,cut,cortar,xeʔⁿde
121,ndo,fifteen,quince,ša̧ʔu̧
122,ndo,guts,tripas,[ini]=dentro
123,ndo,ten,diez,uši
124,ndo,cold,frío,ƀixi̧
125,ndo,sandal,huarache,ⁿdixa̧
126,ndo,housepot,horcón,NA
127,ndo,name,nombre,kii
128,ndo,cacao,cacao,siʔƀa
129,ndo,ear,oreja,soʔo
130,ndo,tasty,sabroso,NA
131,ndo,closed,cerrado,(kasi)
132,ndo,day after tomorrow,pasado mañana,NA
133,ndo,sweet,dulce,ƀiši
