IDlist,GLOSS,VALUE,DOCULECT,IDjoss,CODEjoss
15,dueño,is-toʔo,yolo12,63,yolx
15,dueño,xi-toʔo,yoso11,63,yoso
15,dueño,xi-toʔo,yucu11,63,yuca
15,dueño,ʔì-tōʔō,yucu12,63,yuci
15,dueño,ʔes-toʔo,yucu13,63,yucñ
15,dueño,ʔīš-tōʔò-nà̧,yucu15,63,yuco
15,dueño,či-toʔo,zaca11,63,zac
15,dueño,stoʔo,zapo11,63,zap
16,sacerdote,sutu,acat11,182,acat
16,sacerdote,sutu,achi11,182,achi
16,sacerdote,θütü,ahue11,182,ahue
16,sacerdote,sùtù,alac11,182,alac
16,sacerdote,sutu,alco11,182,alco
16,sacerdote,đutu,apas11,182,apas
16,sacerdote,đutu,apoa11,182,apoa
16,sacerdote,sūtù,atat11,182,atat
16,sacerdote,huti,aten11,182,aten
16,sacerdote,sutu,atoy11,182,atoy
16,sacerdote,su̧ʰtu,ayut11,182,ayut
16,sacerdote,sutu,brav11,182,cruz
16,sacerdote,đütü,caca11,182,cac
16,sacerdote,sutu,cahu11,182,cah
16,sacerdote,sutu,chal11,182,chal
16,sacerdote,sutu,chay11,182,chay
16,sacerdote,đutu,chaz11,182,chaz
16,sacerdote,đutu,chic11,182,chic
16,sacerdote,đutu,chig11,182,chig
16,sacerdote,đutu,coat11,182,coat
16,sacerdote,sùtù,coic11,182,coi
16,sacerdote,hutu,colo11,182,colo
16,sacerdote,đutu,coso11,182,cos
16,sacerdote,sutu,cuat11,182,cuat
16,sacerdote,đuʰtu,cuau11,182,cuau
16,sacerdote,đutu,cuya11,182,cuya
16,sacerdote,siti,dura11,182,durz
16,sacerdote,θütü,esta11,182,silm
16,sacerdote,đutu,este11,182,este
16,sacerdote,sutū,gran11,182,mig
16,sacerdote,đuti,guad11,182,guad
16,sacerdote,sutu,huaz11,182,huaz
16,sacerdote,đutu,huit11,182,huit
16,sacerdote,sutu,itun11,182,itun
16,sacerdote,xùtù,ixpa11,182,ixpn
16,sacerdote,sutu,ixta11,182,ixty
16,sacerdote,đutu,ixta12,182,ixtl
16,sacerdote,sutu,jami11,182,jam
16,sacerdote,sutu,jica11,182,jict
16,sacerdote,sutu,jica12,182,jicy
16,sacerdote,sutu,juxt11,182,juxt
16,sacerdote,sutu,lore11,182,lor
16,sacerdote,sutu,mech11,182,mech
16,sacerdote,sutu,mixt11,182,mix
16,sacerdote,sūtū,moli11,182,moli
16,sacerdote,sutu,mont13,182,verd
16,sacerdote,hütü,nuch11,182,nuch
16,sacerdote,đutʸu,nuxa11,182,nuxa
16,sacerdote,đutʸu,nuxi11,182,nuxi
16,sacerdote,sūtù,nuyo11,182,nuyo
16,sacerdote,sùtù,ocot11,182,oco
16,sacerdote,đútú,peno11,182,peño
16,sacerdote,đutu,pied11,182,pied
16,sacerdote,sutu,pino11,182,pinn
16,sacerdote,sutu,pino12,182,pinl
16,sacerdote,sutu,prom01,182,p-mixtec
16,sacerdote,sutu,reye11,182,rey
16,sacerdote,sutu,sayu11,182,sayu
16,sacerdote,đutu,sind11,182,sind
16,sacerdote,đutu,soya11,182,soy
16,sacerdote,đutu,tama11,182,tamj
16,sacerdote,θütü,tama12,182,tams
16,sacerdote,siti,teco11,182,teco
16,sacerdote,đutu,teit11,182,teit
16,sacerdote,đutu,tepe11,182,tepj
16,sacerdote,sutu,tepe12,182,tept
16,"cura, padre, jefe",đutu,tepo11,182,tepo
16,sacerdote,đutu,tida11,182,tida
16,sacerdote,đutu,tila11,182,til
16,sacerdote,sutu,tlac11,182,tlac
16,sacerdote,i-đutu,tlal11,182,tlal
16,sacerdote,đutu,tlaz11,182,tlaz
16,sacerdote,đutu,tona11,182,ton
16,sacerdote,sutu,tutu11,182,tut
16,sacerdote,đùtù,xaya12,182,xay
16,sacerdote,sutu,yolo11,182,yolt
16,sacerdote,sutu,yolo12,182,yolx
16,sacerdote,sutu,yoso11,182,yoso
16,sacerdote,sutu,yucu11,182,yuca
16,sacerdote,sūtū,yucu12,182,yuci
16,sacerdote,huti,yucu13,182,yucñ
16,sacerdote,hʷiti,yucu13,182,yucñ
16,sacerdote,sùtù,yucu15,182,yuco
16,sacerdote,sutu,zaca11,182,zac
16,sacerdote,đutʸu,zapo11,182,zap
17,sangre,nɨ̧́ñɨ̧́,acat11,39,acat
17,sangre,ni̧ņi̧,achi11,39,achi
17,sangre,ni̧i̧,adeq11,39,adeq
17,sangre,nī̧ǐ̧,ahue11,39,ahue
17,sangre,yii,alac11,39,alac
17,sangre,nì̧ī̧,alco11,39,alco
17,sangre,ni̧i̧,amat11,39,amat
17,sangre,ni̧ñi̧,apas11,39,apas
17,sangre,ni̧ỹi̧,apoa11,39,apoa
17,sangre,ni̧ñi̧,apoa11,39,apoa
17,sangre,nɨ̧ņɨ̧̄,atat11,39,atat
17,sangre,nì̧ì̧,aten11,39,aten
17,sangre,ni̧ñi̧,atoy11,39,atoy
17,sangre,ni̧i̧ʔ,ayut11,39,ayut
17,sangre,ni̧i̧,brav11,39,cruz
17,sangre,ni̧i̧,caca11,39,cac
17,sangre,nì̧ì̧,cahu11,39,cah
17,sangre,nɨ̧ņi̧,chal11,39,chal
17,sangre,nɨ̧̀ñɨ̧̀,chay11,39,chay
17,sangre,ñi̧i̧,chay12,39,chap
17,sangre,ni̧i̧,chaz11,39,chaz
17,sangre,nȩ̀ñȩ̀,chic11,39,chic
17,sangre,nì̧ì̧,chig11,39,chig
17,sangre,nɨ̧ñɨ̧,coat11,39,coat
17,sangre,nì̧í̧,coic11,39,coi
17,sangre,nɨ̧ñɨ̧,colo11,39,colo
17,sangre,ni̧i̧,coso11,39,cos
17,sangre,ni̧ñi̧,coxc11,39,cant
