ID	DOCULECT	CONCEPT	OTHER_CONCEPT	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
3297	mont12	ANT	hormiga	tìkù kuaá	tìkù	75	587	NA	NA	oxnard2020	NA
5274	papa11	ANT	hormiga	i³cu⁴	i³cu⁴	75	587	NA	NA	anderson1983diccionario	NA
4928	pena11	ANT	hormiga	tioko	tioko	75	587	NA	NA	hollenbach2017diccionario	[A]
3295	pied12	ANT	hormiga	tsiòkó	tsiòkó	75	587	NA	NA	oxnard2020	NA
5468	tepe03	ANT	hormiga	iku	iku	75	587	NA	NA	belmar1902el-cuicateco	NA
1899	tepo01	ANT	hormiga	tiyoco	tiyoco	75	587	NA	NA	alvarado1593vocabulario	NA
1900	tepo01	ANT	hormiga	tidzuhu	tidzuhu	75	587	NA	NA	alvarado1593vocabulario	NA
3294	tlah11	ANT	hormiga	tyòkó	tyòkó	75	587	NA	NA	oxnard2020	NA
4739	xoch11	ANT	hormiga	tio̠kó	tio̠kó	75	587	NA	NA	stark2013diccionario	NA
242	yolo11	ANT	hormiga	tio¹ko⁴	tio¹ko⁴	75	587	NA	NA	amith2020yoloxochitl	NA
20859	yuta13	ANT	hormiga (grande y negra)	ti̠yi̠tó	ti̠-yi̠tó	75	587	NA	NA	williams2017diccionario	NA
20860	yuta13	ANT	hormiga (pequen̄a y negra)	ti̠’i̠’á	ti̠-’i̠’á	75	587	NA	NA	williams2017diccionario	NA
1564	copa11	ASH	ash	yax³	yax³	119	646	NA	NA	hollenbach1992syntactic	NA
20698	yucu17	ASH	ash	yàá	yàá	119	646	NA	NA	salazar2020yucunani	NA
98	abas11	ASH	ceniza	yàà	yàà	119	646	NA	NA	galindo-sanchez2009vocabulario	NA
4056	chay11	ASH	ceniza	ñiyaa	ñi-yaa	119	646	NA	NA	pensinger1974diccionario	NA
1732	chic02	ASH	ceniza	Yaaha, Yaa	yaaha, yaa	119	646	NA	NA	belmar1897ensayo	NA
6025	chic12	ASH	ceniza	yaj³	yaj³	119	646	NA	NA	good1978diccionario	NA
21125	chic12	ASH	ceniza	jːa³ʰ	jːa³ʰ	119	646	NA	NA	hernandez-mendoza2020vocabulario	NA
4270	colo11	ASH	ceniza	nyaà	nyaà	119	646	NA	NA	stark1986diccionario	NA
20219	dura11	ASH	ceniza	yàà	yàà	119	646	NA	NA	hernandez2020san-martin	NA
3519	flor12	ASH	ceniza	yàjǎ	yàjǎ	119	646	NA	NA	oxnard2020	NA
20397	huen11	ASH	ceniza	yaá	yaá	119	646	NA	NA	becerra-roldan2015un-estudio	NA
6239	jica13	ASH	ceniza	ya̠á	ya̠á	119	646	NA	NA	Emily John-Martin	NA
3521	mixt11	ASH	ceniza	yàá	yàá	119	646	NA	NA	oxnard2020	NA
3520	mont12	ASH	ceniza	ya'à	ya'à	119	646	NA	NA	oxnard2020	NA
5320	papa11	ASH	ceniza	yi⁴ya⁴	yi⁴ya⁴	119	646	NA	NA	anderson1983diccionario	NA
4974	pena11	ASH	ceniza	yaà	yaà	119	646	NA	NA	hollenbach2017diccionario	{BA}
3518	pied12	ASH	ceniza	yàjǎ	yàjǎ	119	646	NA	NA	oxnard2020	NA
1934	tepo01	ASH	ceniza	yaa	yaa	119	646	NA	NA	alvarado1593vocabulario	NA
3517	tlah11	ASH	ceniza	yàá	yàá	119	646	NA	NA	oxnard2020	NA
4774	xoch11	ASH	ceniza	ya̠á	ya̠á	119	646	NA	NA	stark2013diccionario	NA
282	yolo11	ASH	ceniza	ya¹a⁴	ya¹a⁴	119	646	NA	NA	amith2020yoloxochitl	NA
20905	yuta13	ASH	ceniza	yaa̠	yaa̠	119	646	NA	NA	williams2017diccionario	NA
4593	alac11	ASH	ceniza (del brasero)	ya̠a̠ nó’o	ya̠a̠ nó’o	119	646	NA	NA	anderson2006vocabulario	NA
1012	alac11	AUNT	aunt	sīsī	sīsī	11	1272	NA	NA	zylstra1991syntactic	NA
2102	atat11	AUNT	aunt	sīsī	sīsī	11	1272	NA	NA	durr1987preliminary	NA
751	ayut11	AUNT	aunt	shishi	shishi	11	1272	NA	NA	hills1990syntactic	NA
2106	ayut11	AUNT	aunt	šìšì	šìšì	11	1272	NA	NA	durr1987preliminary	NA
2104	caca11	AUNT	aunt	đīđì	đīđì	11	1272	NA	NA	durr1987preliminary	NA
2108	cahu11	AUNT	aunt	sīsī	sīsī	11	1272	NA	NA	durr1987preliminary	NA
889	coat11	AUNT	aunt	ñāná	ñāná	11	1272	NA	NA	small1990syntactic	NA
2099	coat11	AUNT	aunt	đíđí	đíđí	11	1272	NA	NA	durr1987preliminary	NA
1293	conc11	AUNT	aunt	dūdé	dūdé	11	1272	NA	NA	bradley1991preliminary	NA
1497	copa11	AUNT	aunt	tuhwe³	tuhwe³	11	1272	NA	NA	hollenbach1992syntactic	NA
1147	diux11	AUNT	aunt	ðíðî	ðíðî	11	1272	NA	NA	kuiper1991syntactic	NA
2097	diux11	AUNT	aunt	'đìđí	'đìđí	11	1272	NA	NA	durr1987preliminary	NA
2103	gran11	AUNT	aunt	šīì	šīì	11	1272	NA	NA	durr1987preliminary	NA
380	jami11	AUNT	aunt	chishi	chishi	11	1272	NA	NA	johnson1988syntactic	NA
2110	jica11	AUNT	aunt	čīšī	čīšī	11	1272	NA	NA	durr1987preliminary	NA
2107	metl11	AUNT	aunt	šīšī	šīšī	11	1272	NA	NA	durr1987preliminary	NA
2100	moli11	AUNT	aunt	sīsì	sīsì	11	1272	NA	NA	durr1987preliminary	NA
503	ocot11	AUNT	aunt	shīshi	shīshi	11	1272	NA	NA	alexander1988syntactic	NA
2101	ocot11	AUNT	aunt	šīšì	šīšì	11	1272	NA	NA	durr1987preliminary	NA
2098	peno11	AUNT	aunt	đìđí	đìđí	11	1272	NA	NA	durr1987preliminary	NA
623	prog12	AUNT	aunt	xixi	xixi	11	1272	NA	NA	shields1988syntactic	NA
2109	prog12	AUNT	aunt	hìhì	hìhì	11	1272	NA	NA	durr1987preliminary	NA
2105	xaya11	AUNT	aunt	đīđī	đīđī	11	1272	NA	NA	durr1987preliminary	NA
1369	yoso11	AUNT	aunt	shīshī	shīshī	11	1272	NA	NA	farris1992syntactic	NA
20592	yucu17	AUNT	aunt	xitò	xitò	11	1272	NA	NA	salazar2020yucunani	NA
10	abas11	AUNT	tía	xixi	xixi	11	1272	NA	NA	galindo-sanchez2009vocabulario	NA
4502	alac11	AUNT	tía	sisi	sisi	11	1272	NA	NA	zylstra2012gramatica	NA
3954	chay11	AUNT	tía	tyixi	tyixi	11	1272	NA	NA	pensinger1974diccionario	NA
1645	chic02	AUNT	tía	Tughuia	tughuia	11	1272	NA	NA	belmar1897ensayo	NA
5914	chic12	AUNT	tía	du’ui’²	du’ui’²	11	1272	NA	NA	good1978diccionario	NA
21012	chic12	AUNT	tía	du³ˀwi³	du³ˀwi³	11	1272	NA	NA	hernandez-mendoza2020vocabulario	NA
4157	colo11	AUNT	tía	tyíxi	tyíxi	11	1272	NA	NA	stark1986diccionario	NA
20108	dura11	AUNT	tía	shishi	shishi	11	1272	NA	NA	hernandez2020san-martin	NA
