ID,Doculect,Concept,Form,PMCouplet,CogID_Durr,ToneMod,CitForm
792,metl11,word,tù̧ʔū̧,LH,48,no,no
861,cahu11,word,tnō̧ʔō̧,LH,48,no,no
927,mixt11,word,tù̧ʔū̧,LH,48,no,no
993,prog12,word,tù̧ʔū̧,LH,48,no,no
1072,jica11,word,tú̧ʔú̧,LH,48,no,no
1124,chay11,word,tù̧ʔū̧,LH,48,no,no
76,peno11,clay pot,kɨ́đɨ̀,LH,49,no,no
158,coat11,clay pot,kɨ̀đɨ́,LH,49,no,yes
233,moli11,clay pot,kìsī,LH,49,no,no
373,atat11,clay pot,kɨ̀sɨ̄,LH,49,no,no
478,gran11,clay pot,kɨ̀sɨ̄,LH,49,no,no
567,caca11,clay pot,kìđī,LH,49,no,no
687,ayut11,clay pot,kìsì,LH,49,no,no
739,alac11,clay pot,kìsī,LH,49,no,no
793,metl11,clay pot,kìsī,LH,49,no,no
928,mixt11,clay pot,kìsī,LH,49,no,no
1073,jica11,clay pot,kísí,LH,49,no,no
159,coat11,metal,kàá,LH,50,no,yes
234,moli11,metal,kàā,LH,50,no,no
296,ocot11,metal,kàā,LH,50,no,no
374,atat11,metal,kàā,LH,50,no,no
479,gran11,metal,kàā,LH,50,no,no
568,caca11,metal,kàā,LH,50,no,no
629,xaya11,metal,kàā,LH,50,no,no
688,ayut11,metal,kàà,LH,50,no,no
794,metl11,metal,kàà,LH,50,no,no
862,cahu11,metal,kàà,LH,50,no,no
929,mixt11,metal,kàā,LH,50,no,no
994,prog12,metal,kàà,LH,50,no,no
1074,jica11,metal,káā,LH,50,no,no
77,peno11,meat,kùñú,LH,51,no,no
160,coat11,meat,kùñú̧,LH,51,no,yes
297,ocot11,meat,kùñū,LH,51,no,no
375,atat11,meat,kùñū,LH,51,no,no
480,gran11,meat,kùñū,LH,51,no,no
569,caca11,meat,kò̧ñō̧,LH,51,no,no
740,alac11,meat,kùñō̧,LH,51,no,no
795,metl11,meat,kùñù,LH,51,no,no
863,cahu11,meat,kùñū̧,LH,51,no,no
9,diux11,cross-sex sibling,kú’ʔá,LH,52,no,no
78,peno11,cross-sex sibling,kúʔà,LH,52,no,no
235,moli11,cross-sex sibling,kʷàʔā,LH,52,no,no
298,ocot11,cross-sex sibling,kʷàʔā,LH,52,no,no
376,atat11,cross-sex sibling,kʷàʔā,LH,52,no,no
481,gran11,cross-sex sibling,kʷàʔā,LH,52,no,no
630,xaya11,cross-sex sibling,kùʔā,LH,52,no,no
