__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Stem alternation,Inflected form (IRR),Inflected form (NEG.IRR),Inflected form (CPL-1),Inflected form (CPL-2),Inflected form (INCPL),Inflected form (Stative),Tone (IRR),Tone (NEG.IRR),Tone (CPL-1) – lexical tone,Tone (CPL-2),Tone (INCPL)
4145,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,koʔ³ni³,fan,aventar,tr,Bimoraic,Invariable,koʔ³ni³,koʔ¹⁴ni³,ni¹-koʔ³ni³,koʔ¹³ni³,koʔ⁴ni³,,3–3,14–3,3–3,13–3,4–3
4146,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,koʔ³ni⁴,milk,ordeñar,tr,Bimoraic,Invariable,koʔ³ni⁴,koʔ¹⁴ni⁴,ni¹-koʔ³ni⁴,koʔ¹³ni⁴,koʔ⁴ni⁴,,3–4,14–4,3–4,13–4,4–4
4151,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku¹un⁴,be ground,ser molido,intr,Bimoraic,Invariable,ku¹un⁴,ku¹⁴un¹⁴,ni¹-ku¹un⁴,ku¹un⁴,ku⁴un¹⁴,,1–4,14–14,1–4,1–4,4–14
4152,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku¹xi³²,rust,oxidarse,intr,Bimoraic,Invariable,ku¹xi³²,ku¹⁴xi³²,ni¹-ku¹xi³²,ku¹xi³²,ku⁴xi¹³²,,1–32,14–32,1–32,1–32,4–132
4385,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ba³ta⁴,be a liar,ser mentiroso,intr,Trimoraic,Invariable,ku³-ba³ta⁴,ku¹⁴-ba³ta⁴,ni¹-ku³-ba³ta⁴,ku¹³-ba³ta⁴,ku⁴-ba³ta⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4384,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-baʔ¹a³,grow,crecer,intr,Trimoraic,Invariable,ku³-baʔ¹a³,ku¹⁴-baʔ¹a³,ni¹-ku³-baʔ¹a³,ku¹³-baʔ¹a³,ku⁴-baʔ¹a³,,3–1–3,14–1–3,3–1–3,13–1–3,4–1–3
4387,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-bi¹xi³²,go gray,encanecerse,intr,Trimoraic,Invariable,ku³-bi¹xi³²,ku¹⁴-bi¹xi³²,ni¹-ku³-bi¹xi³²,ku¹³-bi¹xi³²,ku⁴-bi¹xi³²,,3–1–32,14–1–32,3–1–32,13–1–32,4–1–32
4386,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-bi⁴ka³,become rich,enriquecerse,intr,Trimoraic,Invariable,ku³-bi⁴ka³,ku¹⁴-bi⁴ka³,ni¹-ku³-bi⁴ka³,ku¹³-bi⁴ka³,ku⁴-bi⁴ka³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4388,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-chaʔ¹mba⁴,be crushed,quedar aplastado,intr,Trimoraic,Invariable,ku³-chaʔ¹mba⁴,ku¹⁴-chaʔ¹mba⁴,ni¹-ku³-chaʔ¹mba⁴,ku¹³-chaʔ¹mba⁴,ku⁴-chaʔ¹mba⁴,,3–1–4,14–1–4,3–1–4,13–1–4,4–1–4
4389,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-chiaʔ⁴an⁴,beg,mendigar,intr,Trimoraic,Invariable,ku³-chiaʔ⁴an⁴,ku¹⁴-chiaʔ⁴an⁴,ni¹-ku³-chiaʔ⁴an⁴,ku¹³-chiaʔ⁴an⁴,ku⁴-chiaʔ⁴an⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4391,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-i³tun⁴,stiffen,entiesarse,intr,Trimoraic,Invariable,ku³-i³tun⁴,ku¹⁴-i³tun⁴,ni¹-ku³-i³tun⁴,ku¹³-i³tun⁴,ku⁴-i³tun⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4392,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-kiʔ⁴bi³,annoy,molestar,intr,Trimoraic,Invariable,ku³-kiʔ⁴bi³,ku¹⁴-kiʔ⁴bi³,ni¹-ku³-kiʔ⁴bi³,ku¹³-kiʔ⁴bi³,ku⁴-kiʔ⁴bi³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4393,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-laʔ⁴la¹,fray,raerse,intr,Trimoraic,Invariable,ku³-laʔ⁴la¹,ku¹⁴-laʔ⁴la¹,ni¹-ku³-laʔ⁴la¹,ku¹³-laʔ⁴la¹,ku⁴-laʔ⁴la¹,,3–4–1,14–4–1,3–4–1,13–4–1,4–4–1
4394,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-le³ke³,get thinner,enflaquecer,intr,Trimoraic,Invariable,ku³-le³ke³,ku¹⁴-le³ke³,ni¹-ku³-le³ke³,ku¹³-le³ke³,ku⁴-le³ke³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4549,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-maʔ³a⁴,be silly,quedar sonso,intr,Trimoraic,Invariable,ku³-maʔ³a⁴,ku¹⁴-maʔ³a⁴,ni¹-ku³-maʔ³a⁴,ku¹³-maʔ³a⁴,ku⁴-maʔ³a⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4397,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-na³a⁴,get dark,oscurecer,intr,Trimoraic,Invariable,ku³-na³a⁴,ku¹⁴-na³a⁴,ni¹-ku³-na³a⁴,ku¹³-na³a⁴,ku⁴-na³a⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4398,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-naʔ¹a¹,be idle,estar desocupado,intr,Trimoraic,Invariable,ku³-naʔ¹a¹,ku¹⁴-naʔ¹a¹,ni¹-ku³-naʔ¹a¹,ku¹³-naʔ¹a¹,ku⁴-naʔ¹a¹,,3–1–1,14–1–1,3–1–1,13–1–1,4–1–1
4399,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-naʔ³a⁴,take a long time,hacerse mucho tiempo,intr,Trimoraic,Invariable,ku³-naʔ³a⁴,ku¹⁴-naʔ³a⁴,ni¹-ku³-naʔ³a⁴,ku¹³-naʔ³a⁴,ku⁴-naʔ³a⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4400,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-nda¹a⁴,grow hoarse,enronquecerse,intr,Trimoraic,Invariable,ku³-nda¹a⁴,ku¹⁴-nda¹a⁴,ni¹-ku³-nda¹a⁴,ku¹³-nda¹a⁴,ku⁴-nda¹a⁴,,3–1–4,14–1–4,3–1–4,13–1–4,4–1–4
4550,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-nda³si⁴,be afraid,tener miedo,intr,Trimoraic,Invariable,ku³-nda³si⁴,ku¹⁴-nda³si⁴,ni¹-ku³-nda³si⁴,ku¹³-nda³si⁴,ku⁴-nda³si⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4401,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-nda⁴a⁴,blacken,ennegrecerse,intr,Trimoraic,Invariable,ku³-nda⁴a⁴,ku¹⁴-nda⁴a⁴,ni¹-ku³-nda⁴a⁴,ku¹³-nda⁴a⁴,ku⁴-nda⁴a⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4403,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ndaʔ¹yu¹,get muddy,enlodarse,intr,Trimoraic,Invariable,ku³-ndaʔ¹yu¹,ku¹⁴-ndaʔ¹yu¹,ni¹-ku³-ndaʔ¹yu¹,ku¹³-ndaʔ¹yu¹,ku⁴-ndaʔ¹yu¹,,3–1–1,14–1–1,3–1–1,13–1–1,4–1–1
4402,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ndaʔ⁴bi²,become impoverished,empobrecerse,intr,Trimoraic,Invariable,ku³-ndaʔ⁴bi²,ku¹⁴-ndaʔ⁴bi²,ni¹-ku³-ndaʔ⁴bi²,ku¹³-ndaʔ⁴bi²,ku⁴-ndaʔ⁴bi²,,3–4–2,14–4–2,3–4–2,13–4–2,4–4–2
4404,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-nu¹⁴u³,look at carefully,ver con detalle,intr,Trimoraic,Invariable,ku³-nu¹⁴u³,ku¹⁴-nu¹⁴u³,ni¹-ku³-nu¹⁴u³,ku¹³-nu¹⁴u³,ku⁴-nu¹⁴u³,,3–14–3,14–14–3,3–14–3,13–14–3,4–14–3
4551,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-nu¹mi⁴,hurry,apurarse,intr,Trimoraic,Invariable,ku³-nu¹mi⁴,ku¹⁴-nu¹mi⁴,ni¹-ku³-nu¹mi⁴,ku¹³-nu¹mi⁴,ju⁴-nu¹mi⁴,,3–1–4,14–1–4,3–1–4,13–1–4,4–1–4
4552,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ñu³u⁴²,get dark,anochecer,intr,Trimoraic,Invariable,ku³-ñu³u⁴²,ku¹⁴-ñu³u⁴²,ni¹-ku³-ñu³u⁴²,ku¹³-ñu³u⁴²,ku⁴-ñu³u⁴²,,3–3–42,14–3–42,3–3–42,13–3–42,4–3–42
4405,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-si¹i⁴,be encouraged,animarse,intr,Trimoraic,Invariable,ku³-si¹i⁴,ku¹⁴-si¹i⁴,ni¹-ku-³si¹i⁴,ku¹³-si¹i⁴,ku⁴-si¹i⁴,,3–1–4,14–1–4,3–1–4,13–1–4,4–1–4
4406,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-siʔ⁴i²,act effeminate,actuar como afeminado,intr,Trimoraic,Invariable,ku³-siʔ⁴i²,ku¹⁴-siʔ⁴i²,ni¹-ku³-siʔ⁴i²,ku¹³-siʔ⁴i²,ku⁴-siʔ⁴i²,,3–4–2,14–4–2,3–4–2,13–4–2,4–4–2
4553,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-su⁴ku²⁴,cover,cubrirse,intr,Trimoraic,Invariable,ku³-su⁴ku²⁴,ku¹⁴-su⁴ku²⁴,ni¹-ku³-su⁴ku²⁴,ku¹³-su⁴ku²⁴,ku⁴-su⁴ku²⁴,,3–4–24,14–4–24,3–4–24,13–4–24,4–4–24
4672,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ta³ka³a³,cling to,colgarse,intr,Quadrimoraic,Invariable,ku³-ta³ka³a³,ku¹⁴-ta³ka³a³,ni¹-ju³-ta³ka³a³,ju¹³-ta³ka³a³,ju⁴-ta³ka³a³,,3–3–3–3,14–3–3–3,3–3–3–3,13–3–3–3,4–3–3–3
4673,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ta³nde³e³,crouch down,agacharse,intr,Quadrimoraic,Invariable,ku³-ta³nde³e³,ku¹⁴-ta³nde³e³,ni¹-ju³-ta³nde³e³,ju¹³-ta³nde³e³,ju⁴-ta³nde³e³,,3–3–3–3,14–3–3–3,3–3–3–3,13–3–3–3,4–3–3–3
4407,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ta⁴tan⁴,be cured,ser curado,intr,Trimoraic,Invariable,ku³-ta⁴tan⁴,ku¹⁴-ta⁴tan⁴,ni¹-ku³-ta⁴tan⁴,ku¹³-ta⁴tan⁴,ku⁴-ta⁴tan⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4627,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ti¹ki³xin⁴,chop (maiz),picarse el maiz,intr,Quadrimoraic,Invariable,ku³-ti¹ki³xin⁴,ku¹⁴-ti¹ki³xin⁴,ni¹-ku³-ti¹ki³xin⁴,ku¹³-ti¹ki³xin⁴,ku⁴-ti¹ki³xin⁴,,3–1–3–4,14–1–3–4,3–1–3–4,13–1–3–4,4–1–3–4
4408,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ti¹sun¹,desiccate,disecarse,intr,Trimoraic,Invariable,ku³-ti¹sun¹,ku¹⁴-ti¹sun¹,ni¹-ku³-ti¹sun¹,ku¹³-ti¹sun¹,ku⁴-ti¹sun¹,,3–1–1,14–1–1,3–1–1,13–1–1,4–1–1
4628,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ti³saʔ⁴ma³,clot,coagularse,intr,Quadrimoraic,Invariable,ku³-ti³saʔ⁴ma³,ku¹⁴-ti³saʔ⁴ma³,ni¹-ku³-ti³saʔ⁴ma³,ku¹³-ti³saʔ⁴ma³,ku⁴-ti⁴saʔ⁴ma³,,3–3–4–3,14–3–4–3,3–3–4–3,13–3–4–3,4–4–4–3
4409,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-to¹⁴o²,have cravings,tener antojo,intr,Trimoraic,Invariable,ku³-to¹⁴o²,ku¹⁴-to¹⁴o²,ni¹-ku³-to¹⁴o²,ku¹³-to¹⁴o²,ku⁴-to¹⁴o²,,3–14–2,14–14–2,3–14–2,13–14–2,4–14–2
4411,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-tu³un³,stiffen,entiesarse,intr,Trimoraic,Invariable,ku³-tu³un³,ku¹⁴-tu³un³,ni¹-ku³-tu³un³,ku¹³-tu³un³,ku⁴-tu³un³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4410,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-tuʔ¹ba³,learn,aprender,intr,Trimoraic,Invariable,ku³-tuʔ¹ba³,ku¹⁴-tuʔ¹ba³,ni¹-ku³-tuʔ¹ba³,ku¹³-tuʔ¹ba³,ku⁴-tuʔ¹ba³,,3–1–3,14–1–3,3–1–3,13–1–3,4–1–3
4412,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-xaʔ¹a¹,get dark,oscurecerse,intr,Trimoraic,Invariable,ku³-xaʔ¹a¹,----,ni¹-ku³-xaʔ¹a¹,ku¹³-xaʔ¹a¹,ku⁴-xaʔ¹a¹,,3–1–1,,3–1–1,13–1–1,4–1–1
4413,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-xaʔ³an²,start to smell strong,llegar a oler fuerte,intr,Trimoraic,Invariable,ku³-xaʔ³an²,ku¹⁴-xaʔ³an²,ni¹-ku³-xaʔ³an²,ku¹³-xaʔ³an²,ku⁴-xaʔ³an²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4415,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-xi⁴ni⁴,stay all short,quedarse chaparro,intr,Trimoraic,Invariable,ku³-xi⁴ni⁴,ku¹⁴-xi⁴ni⁴,ni¹-ku³-xi⁴ni⁴,ku¹³-xi⁴ni⁴,ku⁴-xi⁴ni⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4414,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-xiʔ³na³,come ahead of time,adelantarse,intr,Trimoraic,Invariable,ku³-xiʔ³na³,ku¹⁴-xiʔ³na³,ni¹-ku³-xiʔ³na³,ku¹³-xiʔ³na³,ku⁴-xiʔ³na³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4416,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-xu⁴xan³,be lazy,tener flojera,intr,Trimoraic,Invariable,ku³-xu⁴xan³,ku¹⁴-xu⁴xan³,ni¹-ku³xu⁴xan³,ku¹³-xu⁴xan³,ku⁴-xu⁴xan³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4417,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-ya³tin³,get close,acercarse,intr,Trimoraic,Invariable,ku³-ya³tin³,ku¹⁴-ya³tin³,ni¹-ku³-ya³tin³,ku¹³-ya³tin³,ku⁴-ya³tin³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4418,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-yo⁴ko¹,yield (more than expected),rendir (más de lo esperado),intr,Trimoraic,Invariable,ku³-yo⁴ko¹,ku¹⁴-yo⁴ko¹,ni¹-ku³-yo⁴ko¹,ku¹³-yo⁴ko¹,ku⁴-yo⁴ko¹,,3–4–1,14–4–1,3–4–1,13–4–1,4–4–1
4419,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³-yu⁴ma⁴,turn gray,volverse gris,intr,Trimoraic,Invariable,ku³-yu⁴ma⁴,ku¹⁴-yu⁴ma⁴,ni¹-ku³-yu⁴ma⁴,ku¹³-yu⁴ma⁴,ku⁴-yu⁴ma⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–4–4
4153,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³chi⁴,feel sad,sentir tristeza,intr,Bimoraic,Invariable,ku³chi⁴,ku¹⁴chi⁴,ni¹-ku³chi⁴,ku¹³-(chu³)chi⁴,ku⁴-(chu³)chi⁴,,3–4,14–4,3–4,13–3–4,4–4
4149,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³chun³,be able to,poder,intr,Bimoraic,Invariable,ku³chun³,ku¹⁴chun³,ni¹-ku³chun³,ku¹³chun³,ku⁴chun³,,3–3,14–3,3–3,13–3,4–3
4390,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³i³ni²,love,amar,tr,Trimoraic,Invariable,ku³i³ni²,ku¹⁴i³ni²,ni¹-ku³i³ni²,ku¹³i³ni²,ku⁴i³ni²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4395,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³ma¹ni⁴,lack,faltar,intr,Trimoraic,Invariable,ku³ma¹ni⁴,ku¹⁴ma¹ni⁴,ni¹-ku³ma¹ni⁴,ku¹³ma¹ni⁴,ku⁴ma¹ni⁴,,3–1–4,14–1–4,3–1–4,13–1–4,4–1–4
4396,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³mi³i⁴,have in one's possession,tener consigo,tr,Trimoraic,Invariable,ku³mi³i⁴,ku¹⁴mi³i⁴,ni¹-ku³mi³i⁴,ku¹³mi³i⁴,ku⁴mi³i⁴,,3–3–4,14–3–4,3–3–4,13–3–4,4–3–4
4156,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³u³,happen,acontecer,intr,Bimoraic,Invariable,ku³u³,ku¹⁴u³,ni¹-ku³u³,ku¹³u³,ku⁴u⁴,,3–3,14–3,3–3,13–3,4–4
4157,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³un³,rain,llover,intr,Bimoraic,Invariable,ku³un³,ku¹⁴un³,ni¹-ku³un³,ku¹³un³,ku⁴un⁴,,3–3,14–3,3–3,13–3,4–4
4158,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ku³un⁴,grind sauce,moler salsa,tr,Bimoraic,Invariable,ku³un⁴,ku¹⁴un²⁴,ni¹-ku³un⁴,ku¹³un⁴,ku⁴un²⁴,,3–4,14–24,3–4,13–4,4–24
4154,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kuʔ³ni² (= chi³kuʔ³ni²),tie up,amarrar,tr,Bimoraic,Invariable,kuʔ³ni²,kuʔ¹⁴ni²,ni¹-kuʔ³ni²,kuʔ¹³ni²,kuʔ⁴ni²,nuʔ⁴ni²,3–2,14–2,3–2,13–2,4–2
4155,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kuʔ³u²,get ill,enfermarse,intr,Bimoraic,Invariable,kuʔ³u²,kuʔ¹⁴u²,ni¹-kuʔ³u²,kuʔ¹³u²,kuʔ⁴u²,,3–2,14–2,3–2,13–2,4–2
4160,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kwaʔ³a³,become,hacerse,intr,Bimoraic,Invariable,kwaʔ³a³,kwaʔ¹⁴a⁴,ni¹-kwaʔ³a³,kwaʔ¹³a³,kwaʔ⁴a⁴,,3–3,14–4,3–3,13–3,4–4
4161,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kwe³e²,be late,tardarse,intr,Bimoraic,Invariable,kwe³e²,kwe¹⁴e²,ni¹-kwe³e²,kwe¹³e²,kwe⁴e²,,3–2,14–2,3–2,13–2,4–2
4162,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kwi¹i⁴,peel,pelarse,intr,Bimoraic,Invariable,kwi¹i⁴,kwi¹⁴i¹⁴,ni¹-kwi¹i⁴,kwi¹i⁴,kwi⁴i¹⁴,,1–4,14–14,1–4,1–4,4–14
4163,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kwi³i³,be able to,poder,intr,Bimoraic,Invariable,kwi³i³,kwi¹⁴i³,ni¹-kwi³i³,kwi¹³i³,kwi⁴i⁴,,3–3,14–3,3–3,13–3,4–4
4159,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,kwi³i⁴ (=sa⁴-kwi³i⁴),peel,pelar,tr,Bimoraic,Invariable,kwi³i⁴,kwi¹⁴i²⁴,ni¹-kwi³i⁴,kwi¹³i⁴,kwi⁴i²⁴,,3–4,14–24,3–4,13–4,4–24
4164,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,ma¹ni⁴,give (as a gift),regalar,dtr,Bimoraic,Invariable,ma¹ni⁴,ma¹⁴ni¹⁴,ni¹-ma¹ni⁴,ma¹ni⁴,ma⁴ni¹⁴,,1–4,14–14,1–4,1–4,4–14
4168,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,na¹ma³,get changed,cambiarse,intr,Bimoraic,Invariable,na¹ma³,na¹⁴ma³,ni¹-na¹ma³,na¹ma³,na⁴ma¹³,,1–3,14–3,1–3,1–3,4–13
4170,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,na³ma³,change,cambiar,tr,Bimoraic,Invariable,na³ma³,na¹⁴ma³,ni¹-na³ma³,na¹³ma³,na⁴ma³,,3–3,14–3,3–3,13–3,4–3
4171,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,na³ma⁴,adjust (stones),acomodar (piedras),tr,Bimoraic,Invariable,na³ma⁴,na¹⁴ma⁴,ni¹-na³ma⁴,na¹³ma⁴,na⁴ma⁴,,3–4,14–4,3–4,13–4,4–4
4172,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,na³na³,be photographed,fotografiarse,intr,Bimoraic,Invariable,na³na³,na¹⁴na³,ni¹-na³na³,na¹³na³,na⁴na³,,3–3,14–3,3–3,13–3,4–3
4173,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,na³ñu³,fatten,engordarse,intr,Bimoraic,Invariable,na³ñu³,na¹⁴ñu³,ni¹-na³ñu³,na¹³ñu³,na⁴ñu³,,3–3,14–3,3–3,13–3,4–3
4420,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,na³ñu³u³,stir,revolver,tr,Trimoraic,Invariable,na³ñu³u³,na¹⁴ñu³u³,ni¹-na³ñu³u³,na¹³ñu³u³,na⁴ñu³u³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4165,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,naʔ¹a¹,show (something),mostrar (algo) a,dtr,Bimoraic,Invariable,naʔ¹a¹,naʔ¹⁴a¹,ni¹-naʔ¹a¹,naʔ¹a¹,naʔ⁴a¹,,1–1,14–1,1–1,1–1,4–1
4166,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,naʔ¹a¹,show,mostrar,tr,Bimoraic,Invariable,naʔ¹a¹,naʔ¹⁴a¹,ni¹-naʔ¹a¹,naʔ¹a¹,naʔ⁴a¹,,1–1,14–1,1–1,1–1,4–1
4167,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,naʔ¹ma¹,confess,confesarse,intr,Bimoraic,Invariable,naʔ¹ma¹,naʔ¹⁴ma¹,ni¹-naʔ¹ma¹,naʔ¹ma¹,naʔ⁴ma¹,,1–1,14–1,1–1,1–1,4–1
4169,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,naʔ¹na¹,gorge oneself,empacharse,intr,Bimoraic,Invariable,naʔ¹na¹,naʔ¹⁴na¹,ni¹-naʔ¹na¹,naʔ¹na¹,naʔ⁴na¹,,1–1,14–1,1–1,1–1,4–1
4174,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,nda¹ta⁴,split,rajarse,intr,Bimoraic,Invariable,nda¹ta⁴,nda¹⁴ta¹⁴,ni¹-nda¹ta⁴,nda¹ta⁴,nda⁴ta¹⁴,,1–4,14–14,1–4,1–4,4–14
4554,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,nda³-chaʔ⁴bi³,pay a debt,pagar deuda contraida,tr,Trimoraic,Invariable,nda³-chaʔ⁴bi³,nda¹⁴-chaʔ⁴bi³,ni¹-nda³-chaʔ⁴bi³,nda¹³-chaʔ⁴bi³,nda⁴-chaʔ⁴bi³,,3–4–3,14–4–3,3–4–3,13–4–3,4–4–3
4556,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,False,True,nda³-chi³kun²,put together again,volver a colocar lo desprendido,tr,Trimoraic,Invariable,nda³-chi³kun²,nda¹⁴-chi³kun²,ni¹-nda³-chi³kun²,nda¹³-chi³kun²,nda⁴-chi³kun²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
