__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Inflectional class by affixation,Stem alternation
3829,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ti⁴ʔvi⁴,sweep,barrer,tr,Bimoraic,ti³ʔvi⁴,ti²ʔvi⁴,ti⁴ʔvi⁴,,,,34,24,44,I.a,Invariant
3830,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ti⁴ʔvi⁴,send,enviar,tr,Bimoraic,ti³ʔvi⁴,ti²ʔvi⁴,ti⁴ʔvi⁴,,,,34,24,44,I.a,Invariant
3833,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,xi⁴ko⁴,sell,vender,tr,Bimoraic,xi³ko⁴,xi²ko⁴,xi⁴ko⁴,,,,34,24,44,I.a,Invariant
3827,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ti⁴nda¹ʔa⁴,get married,casarse,intr,Trimoraic,ti³nda¹ʔa⁴,ti¹nda¹ʔa⁴,ti⁴nda¹ʔa⁴,,,,314,114,414,Irregular,Invariant
3700,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,chi⁴ndo³o³,put,poner,tr,Trimoraic,chi³ndo³o³,chi¹ndo³o³,chi⁴ndo³o³,,,,333,133,433,I.a,Invariant
3699,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,chi⁴nde³e⁴,help,ayudar,tr,Trimoraic,chi³nde³e⁴,chi¹nde³e⁴,chi⁴nde³e⁴,,,,334,134,434,I.a,Invariant
3754,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku⁴nde³e⁴ (i³ni³),tolerate,aguantar,tr,Trimoraic,ku³nde³e⁴ (i³ni³),ku¹nde²e⁴ (i³ni³),ku⁴nde³e⁴ (i³ni³),,,,334,124,434,I.a,Invariant
3697,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,chi⁴ka⁴a¹,throw out,echar,tr,Trimoraic,chi³ka¹a¹,chi¹ka²a²,chi⁴ka⁴a¹,,,,311,122,441,I.a,Invariant
3739,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ki⁴xa⁴a¹,arrive,llegar,intr,Trimoraic,ki³xa¹a¹,ki¹xa²a²,ki⁴xa⁴a¹,,,,311,122,441,I.a,Invariant
3698,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,chi⁴kwi⁴ti³,join,juntar,tr,Trimoraic,chi³kwi⁴ti³,chi¹kwi⁴ti³,chi⁴kwi⁴ti³,,,,343,143,443,I.a,Invariant
