LEXEME,IMPF,PFV,IRR
V264_ntantiki,ⁿdaⁿdiki,iⁿdaⁿdiki,ⁿdaⁿdiki
V265_sante'i,saⁿdeʔi,isaⁿdeʔi,saⁿdeʔi
V266_ntasaa,ⁿdasaa,iⁿdasaa,ⁿdasaa
V267_kunte'i,ⁿdeʔi,ikuⁿdeʔi,kuⁿdeʔi
V268_tana,tana,itana,tana
V269_txañu,t͡ɕaɲu,it͡ɕaɲu,t͡ɕaɲu
V270_txian,t͡ɕiã,it͡ɕiã,t͡ɕiã
V271_kukuiin,ɕikuĩĩ,iɕikuĩĩ,kukuĩĩ
V272_ntakasi,ⁿdakasi,iⁿdakasi,ⁿdakasi
V273_sakitxi,sakit͡ɕi,isakit͡ɕi,sakit͡ɕi
V274_saketa,saketa,isaketa,saketa
V275_ntiko'o,ⁿdikoʔo,iⁿdikoʔo,ⁿdikoʔo
V276_kuxiva'a,ɕiβaʔa,ikiɕiβaʔa,kiɕiβaʔa
V277_ni'i,niʔi,iniʔi,niʔi
V278_kuntxita,t͡ʃiⁿd͡ʑita,it͡ʃiⁿd͡ʑita,kuⁿd͡ʑita
V279_ntxiko,ⁿd͡ʑiko,iⁿd͡ʑiko,ⁿd͡ʑiko
V280_santxiko,saⁿd͡ʑiko,isaⁿd͡ʑiko,saⁿd͡ʑiko
V281_ntachikaa,ⁿdat͡ʃikaa,iⁿdat͡ʃikaa,ⁿdat͡ʃikaa
V282_nta'ava,ⁿdaʔaβa,iⁿdaʔaβa,ⁿdaʔaβa
V283_kuna'a,naʔa,iɕinaʔa,kunaʔa
V284_ntikua'a,ⁿdikuaʔa,iⁿdikuaʔa,ⁿdikuaʔa
V285_kunaa,kunaa,ikunaa,kunaa
V286_ñani,ɲani,iɲani,ɲani
V287_ntaka'nu,ⁿdakaʔnu,iⁿdakaʔnu,ⁿdakaʔnu
V288_koso,soso,isoso,koso
V289_titi,titi,ititi,titi
V290_ka'nu,ɕaʔnu,iɕaʔnu,kaʔnu
V291_kutatxi,kutat͡ɕiini,ikutat͡ɕiini,kutat͡ɕiini
V292_takue'e,takueʔe,itakueʔe,takueʔe
V293_kutatan,kutatã,ikutatã,kutatã
V294_shatxa,ʃat͡ɕa,iʃat͡ɕa,ʃat͡ɕa
V295_chichi,t͡ʃit͡ʃi,it͡ʃit͡ʃi,t͡ʃit͡ʃi
V296_ntaxin,ⁿdaɕĩ,iⁿdaɕĩ,ⁿdaɕĩ
V297_ñu'ma,ɲuʔma,iɲuʔma,ɲuʔma
V298_kava,kaβa,ikaβa,kaβa
V299_kaan,kãã,ikãã,kãã
V300_kaya,kaʒa,ikaʒa,kaʒa
V301_kantxaa,kaⁿd͡ʑaa,ikaⁿd͡ʑaa,kaⁿd͡ʑaa
V302_ka'vi,kaʔβi,ikaʔβi,kaʔβi
V303_kata,kata,ikata,kata
V304_kuun,kũũ,ikũũ,kũũ
V305_kisi,kisi,ikisi,kisi
V306_kuya'vi,kuʒaʔβi,ikuʒaʔβi,kuʒaʔβi
V307_kokonii,kokonii,ikokonii,kokonii
V308_kokona'na,kokonaʔna,ikokonaʔna,kokonaʔna
V309_kuchuun,kut͡ʃũũ,ikut͡ʃũũ,kut͡ʃũũ
V310_sama,sama,isama,sama
V311_ntasama,ⁿdasama,iⁿdasama,ⁿdasama
V312_nana,nana,inana,nana
V313_nta'a,ⁿdaʔa,iⁿdaʔa,ⁿdaʔa
V314_xaxan,ɕaɕã,iɕaɕã,ɕaɕã
V315_ntxitxa,ⁿd͡ʑit͡ɕa,iⁿd͡ʑit͡ɕa,ⁿd͡ʑit͡ɕa
V316_sayaa,saʒaa,isaʒaa,saʒaa
V317_ta'ni,taʔni,itaʔni,taʔni
V318_kuyatxi,kuʒat͡ɕi,ikuʒat͡ɕi,kuʒat͡ɕi
V319_xo'o,ɕoʔo,iɕoʔo,ɕoʔo
V320_xini,ɕini,iɕini,ɕini
V321_kasi,sasi,isasi,kasi
V322_katxa,ɕat͡ɕa,iɕat͡ɕa,kat͡ɕa
V323_kuchishi,kut͡ʃiʃi,ikut͡ʃiʃi,kut͡ʃiʃi
V324_ntichishi,ⁿdit͡ʃiʃi,iⁿdit͡ʃiʃi,ⁿdit͡ʃiʃi
V325_ntxii,ⁿd͡ʑii,iⁿd͡ʑii,ⁿd͡ʑii
V326_kukiniini,kukiniini,ikukiniini,kukiniini
V327_xi'in,ɕiʔĩ,iɕiʔĩ,ɕiʔĩ
V328_kuntaya,ⁿdaʔʒa,iⁿdaʔʒa,kuⁿdaʔʒa
V329_sakua'na,sakuaʔna,isakuaʔna,sakuaʔna
V330_xiti,ɕiti,iɕiti,kuiti
V331_yoso,ʒoso,ikoʒoso,koʒoso
V332_kunii,nii,iɕinii,kunii
V333_kakanuu,ɕikanuu,iɕikanuu,kakanuu
V334_kuntxaka,ⁿd͡ʑaka,iɕiⁿd͡ʑaka,kuⁿd͡ʑaka
V335_ntxee,ⁿd͡ʑee,iⁿd͡ʑee,ⁿd͡ʑee
V336_shiko,ʃiko,iʃiko,ʃiko
